Alloys,Hardness (HV),Phase,Fabrication_type,DOI,Paper
AlCr3CuFeNiTi,369.3,,CAST,https://doi.org/10.1016/j.jmst.2021.01.235,Machine learning of phases and mechanical properties in complexconcentrated alloys
Mo0.5VNbTi,370,,CAST,Beniwal: Test,
Al0.3CrFe1.5Ni0.5,371.3,,CAST,https://doi.org/10.1016/j.jmst.2021.01.236,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.7CrFeMnNi,375,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-152,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCuNi,379,,CAST,https://doi.org/10.1016/j.jmst.2021.01.237,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCrCoFeNiTi,380,,CAST,Beniwal: Test,
CoCrFeMn0.4NiPd,380,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-147,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Co0.5Fe0.5Mo0.5NiV0.5,382,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-228,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoFeMoNi2V,382,FCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
FeCoNiCuMo,382,,CAST,Beniwal: Test,
CoFeMoNi2.0V,382.3,,CAST,https://doi.org/10.1016/j.jmst.2021.01.238,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.5CoCrFeMnNiTa0.2,385,FCC+BCC+Sec.,,https://www.nature.com/articles/s41597-020-00768-1,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.75CoFeNi,385,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-355,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.8CrFeMnNi,386,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-151,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.8CoCrFeNi,388,,CAST,https://doi.org/10.1016/j.jmst.2021.01.241,Machine learning of phases and mechanical properties in complexconcentrated alloys
HfNbTiVZr,388,BCC + lm,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.5CrCuFeMnNi,390,,CAST,https://doi.org/10.1016/j.jmst.2021.01.242,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCoCuFeNi,391.4,FCC+BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-158,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.8CrCu1.5FeMnNi,393,,CAST,https://doi.org/10.1016/j.jmst.2021.01.243,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCrCuFeNi2,393,,CAST,https://doi.org/10.1016/j.jmst.2021.01.244,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.5Co0.5Cr0.5Fe0.5Mo0.25Ni,395,FCC+B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-324,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrFeMo0.5Ni2,395,FCC + BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
HfMo0.25NbTaTiZr,395,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-245,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.333Cr0.667FeMn0.667Ni0.333,396,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-296,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CrFe1.5MnNi0.5,396,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.5HfNbTaTiZr,396,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-253,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Hf0.5Mo0.5NbTiZr,400,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-214,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.667Cr0.667Fe0.667Ni0.667,402,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-344,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoFeMo0.4NiV,402,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-235,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
HfMo0.5NbTiV0.5,403,,CAST,https://doi.org/10.1016/j.jmst.2021.01.245,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCoCrFeMo0.5Ni2.0,404,,CAST,https://doi.org/10.1016/j.jmst.2021.01.246,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.11(CoCrFeMnNi),405,,CAST,https://doi.org/10.1016/j.jmst.2021.01.247,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.62CoCrFeMnNi,405,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-308,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.833Cr0.833Cu0.833Fe0.833Ni,407,FCC+BCC,ANNEAL,https://www.nature.com/articles/s41597-020-00768-374,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrCuFe,407,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-50,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrCuFeNi1.2,407,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.667NbTa0.333TiZr0.333,408,BCC,OTHER,https://www.nature.com/articles/s41597-020-00768-98,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlNb1.5Ta0.5Ti1.5Zr0.5,408,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Mo0.5VNbTiCr0.25,410,,CAST,Beniwal: Test,
Al0.5CrFeMnNi0.5,412,,CAST,Beniwal: Test,
Al0.5B0.2CoCrCuFeNi,415,,CAST,https://www.nature.com/articles/s41597-020-00768-290,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiHf0.3,417,,CAST,Beniwal: Test,
AlCoCrCuFe0.5Ni,418,,CAST,https://doi.org/10.1016/j.jmst.2021.01.248,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCoCrCuNi,418,,CAST,https://doi.org/10.1016/j.jmst.2021.01.249,Machine learning of phases and mechanical properties in complexconcentrated alloys
CrNbTiZr,418,BCC+Sec.,OTHER,https://www.nature.com/articles/s41597-020-00768-95,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCuFeNi0.8,420,FCC+BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-159,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMo0.85Ni,420,,CAST,https://doi.org/10.1016/j.jmst.2021.01.250,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlNbTiZr,422,B2,CAST,https://www.nature.com/articles/s41597-020-00768-117,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Co0.273Cr0.477Nb0.477Ni0.045Ti,422,,CAST,https://www.nature.com/articles/s41597-020-00768-163,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrCuFeNi0.5,423,,CAST,https://doi.org/10.1016/j.jmst.2021.01.251,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.5CoCrFeMo0.5Ni,425,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-349,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.75HfNbTaTiZr,427,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-252,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
C0.CoCrFeMnNiTi0.,428,FCC+Sec.,POWDER,https://www.nature.com/articles/s41597-020-00768-75,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCuFeNi0.5,430.9,FCC+BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-160,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
MoNbTaTi,431,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-104,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.CoCrFeMnNi,432,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-207,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
MoTaTiV,433.2,,CAST,https://doi.org/10.1016/j.jmst.2021.01.252,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.8CrCuFeMnNi,436,,CAST,https://doi.org/10.1016/j.jmst.2021.01.253,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.33CrCuFeMn0.33NiSi0.33,441,,CAST,Beniwal: Test,
Al0.8CrCuFeMn1.5Ni,441,,CAST,https://doi.org/10.1016/j.jmst.2021.01.254,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlHfNbTaTiZr,441,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-251,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
MoNbTiV,441,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-246,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Hf0.5Mo0.5NbSi0.1TiZr,442,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Hf0.5Mo0.5NbSi0.TiZr,442,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-219,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
MoNbTaTiV,443,,CAST,https://doi.org/10.1016/j.jmst.2021.01.255,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.15CrFe1.5Ni0.5,443.2,,CAST,https://doi.org/10.1016/j.jmst.2021.01.256,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.5CoCrCuFeNiV0.8,447,FCC+BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-274,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
NbTaTiVW,447,BCC+HCP,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlNbTiV,448,BCC,ANNEAL,https://www.nature.com/articles/s41597-020-00768-372,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.2MoTaTiV,450,,CAST,https://doi.org/10.1016/j.jmst.2021.01.257,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.4CrFe1.5Ni0.5,450.1,,CAST,https://doi.org/10.1016/j.jmst.2021.01.258,Machine learning of phases and mechanical properties in complexconcentrated alloys
AgAlCoCrCuNi,451,,CAST,https://doi.org/10.1016/j.jmst.2021.01.259,Machine learning of phases and mechanical properties in complexconcentrated alloys
B0.035Co0.207Cr0.207FeMn0.62,452,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-136,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Mo25.6Nb22.7Ta24.4W27.3,454,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
MoNbTaW,454,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-237,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoFeNi,456,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-354,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Mo0.5VNbTiCr0.5,456,,CAST,Beniwal: Test,
Al0.5CoCrCuFeNiTi0.6,458,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-284,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrCu0.5FeNi,458,,CAST,https://doi.org/10.1016/j.jmst.2021.01.260,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCoCrCuFeNi,458,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-194,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlNbTaTi,458,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-109,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.25MoNbTiV,460,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-250,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al35Cr14Mg6Ti35V10,460,,POWDER,Beniwal: Test,
Al7.95Cr15.32Fe16.45Mn16.19Ni17.29W26.8,461,,CAST,Beniwal: Test,
Al0.8CrCuFe1.5MnNi,462,,CAST,https://doi.org/10.1016/j.jmst.2021.01.261,Machine learning of phases and mechanical properties in complexconcentrated alloys
CrHfNbTiZr,464,BCC + lm,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
HfNbSi0.5TiVZr,464,BCC + lm,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al1.5CoCrFeNi,467.7,BCC,CAST,Beniwal: Train,
Al1.3CoCrCuFeNi,470,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
CoCrFeMn0.2NiPd,470,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-148,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCuFeNiZr,472,FCC+BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-264,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeNi,472,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-295,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.5CrCuFeNi,473,,CAST,https://doi.org/10.1016/j.jmst.2021.01.262,Machine learning of phases and mechanical properties in complexconcentrated alloys
MoNbRe0.5W,473,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-190,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
C0.11CoCrFeNiW0.11,475,FCC,POWDER,https://www.nature.com/articles/s41597-020-00768-68,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al1.3CoCrCuFe,476,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCo0.769Cr0.769Cu0.769Fe0.769,476,FCC+BCC,,https://www.nature.com/articles/s41597-020-00768-58,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al1.2CoCrFeNi,478,,CAST,https://doi.org/10.1016/j.jmst.2021.01.263,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlTiV,478,,CAST,https://doi.org/10.1016/j.jmst.2021.01.264,Machine learning of phases and mechanical properties in complexconcentrated alloys
MoNbTaTi0.25W,478.3,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-212,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Ti0.25NbMoTaW,478.3,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
HfMo0.50NbTaTiZr,480,,CAST,https://doi.org/10.1016/j.jmst.2021.01.265,Machine learning of phases and mechanical properties in complexconcentrated alloys
HfMo0.5NbTaTiZr,480,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-244,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
MoNbTaTi0.5W,481.2,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-211,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Ti0.5NbMoTaW,481.2,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
CrNbTiVZr,482,BCC + Im,CAST,Beniwal: Train,
Al0.6MoTaTiV,483.3,,CAST,https://doi.org/10.1016/j.jmst.2021.01.267,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al1.8CoCrFeNi,484,,CAST,https://doi.org/10.1016/j.jmst.2021.01.268,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al2CoCrFeNi,484.3,BCC,CAST,Beniwal: Train,
TaTiZr,485,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-124,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.12(CoCrFeMnNi),486,,CAST,https://doi.org/10.1016/j.jmst.2021.01.269,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.5CoCrFeMnNiTa0.4,486,FCC+BCC+Sec.,,https://www.nature.com/articles/s41597-020-00768-0,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.68CoCrFeMnNi,486,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-307,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrCuFeNi0.8,486,FCC + BCC,CAST,Beniwal: Train,
Al0.50MoNbTiV,486.5,,CAST,https://doi.org/10.1016/j.jmst.2021.01.271,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.133CoCr0.667Fe0.667NiTi0.333,487,FCC,ANNEAL,https://www.nature.com/articles/s41597-020-00768-385,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.2Co1.5CrFeNi1.5Ti0.5,487,FCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.5MoNbTiV,487,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-249,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al2.5CoCrFeNi,487,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCo0.4Cr0.4Fe0.4Ni0.4,487,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-343,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Mo0.5VNbTiCr0.75,488,,CAST,Beniwal: Test,
AlMoTiV,489,,CAST,https://doi.org/10.1016/j.jmst.2021.01.273,Machine learning of phases and mechanical properties in complexconcentrated alloys
Nb0.333Ta0.667Ti0.667Zr,489,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-122,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.214Nb0.714Ta0.714TiZr0.929,490,BCC,OTHER,https://www.nature.com/articles/s41597-020-00768-102,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.3NbTaTi1.4Zr1.3,490,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al10.11Cr19.49Fe20.93Mn20.59Ni22W6.89,490,,CAST,Beniwal: Test,
HfNbSi0.5TiV,490,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-240,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiTa0.4,492,,CAST,https://doi.org/10.1016/j.jmst.2021.01.274,Machine learning of phases and mechanical properties in complexconcentrated alloys
HfMo0.75NbTaTiZr,492,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-243,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
NbTaVW,492,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al1.25CoCrFeNi,493,BCC,CAST,Beniwal: Train,
AlCoCrFeNi,493,B2+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-191,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Hf0.5Mo0.5NbSi0.3TiZr,494,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-218,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrCuFeMnNi,495,,CAST,https://doi.org/10.1016/j.jmst.2021.01.276,Machine learning of phases and mechanical properties in complexconcentrated alloys
CrNbTaTi,495,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-107,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CuHfNiTiZr,495,,CAST,https://doi.org/10.1016/j.jmst.2021.01.277,Machine learning of phases and mechanical properties in complexconcentrated alloys
MoNbTaTi0.75W,495.6,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-210,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Ti0.75NbMoTaW,495.6,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCoCrCu0.5Ni,496,,CAST,https://doi.org/10.1016/j.jmst.2021.01.278,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCrCuFeNi0.6,496,FCC + BCC,CAST,Beniwal: Train,
AlCo0.667Cr0.667Cu0.667Fe0.667Ni0.667,498,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-193,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiTa0.5,498,,CAST,https://doi.org/10.1016/j.jmst.2021.01.280,Machine learning of phases and mechanical properties in complexconcentrated alloys
Mo40Nb10V20Ta20W20,498,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
MoNbTaTiW,498.7,,CAST,https://doi.org/10.1016/j.jmst.2021.01.281,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCo0.8Cr0.8Fe0.8Ni0.8,499,BCC,ANNEAL,https://www.nature.com/articles/s41597-020-00768-391,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
MoNbTaTiZr,499.6,,CAST,https://doi.org/10.1016/j.jmst.2021.01.282,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.214Nb0.714Ta0.57TiV0.143Zr0.929,500,BCC,OTHER,https://www.nature.com/articles/s41597-020-00768-103,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,500,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.4Hf0.6NbTaTiZr,500,BCC,CAST,Beniwal: Train,
Al0.774FeMn0.903Ni0.484Ti0.097,500,,CAST,https://www.nature.com/articles/s41597-020-00768-119,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
HfMo0.5NbSi0.3TiV0.5,500,,CAST,https://doi.org/10.1016/j.jmst.2021.01.283,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al10.47Cr20.18Fe20.67Mn21.32Ni22.78W3.59,503,,CAST,Beniwal: Test,
MoNbTaV,504,BCC,CAST,Beniwal: Train,
Al0.5B0.6CoCrCuFeNi,505,,CAST,https://www.nature.com/articles/s41597-020-00768-289,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
HfMoNbTaTiZr,505,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-242,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al1.5CoCrCuFeNi,506,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al3CoCrFeNi,506,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCo0.333Cr0.333Fe0.333Ni0.333,506,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-342,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al2.0CoCrFeNi,506.5,,CAST,https://doi.org/10.1016/j.jmst.2021.01.285,Machine learning of phases and mechanical properties in complexconcentrated alloys
TiNbMoTaW,507.5,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlMoNbTi,509,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-110,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Co1.5CrFeNi1.5Ti0.5,509,FCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
CoCr0.667Fe0.667NiTi0.333,509,FCC,ANNEAL,https://www.nature.com/articles/s41597-020-00768-383,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlMoTaTiV,509.5,,CAST,https://doi.org/10.1016/j.jmst.2021.01.287,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al1.5CoCrCuFe,510,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCo0.667Cr0.667Cu0.667Fe0.667,510,FCC+BCC,,https://www.nature.com/articles/s41597-020-00768-57,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
C0.2MoNbRe0.5Ta0.2W,510,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-189,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Co0.556Fe0.556Mo0.556NiV0.556,510,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-229,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoFeMoNi1.8V,510,FCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
CrFeNiTi0.3,510.3,BCC+FCC,CAST,https://www.nature.com/articles/s41597-020-00768-143,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
MoNbTaTiVW,510.3,,CAST,https://doi.org/10.1016/j.jmst.2021.01.288,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.3CoCrFeMnNi,511,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-206,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.9CoCrFeNi,511,FCC+BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-200,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CrFeNiNb0.1Ti0.2,512,,CAST,Beniwal: Test,
Al0.267CoCr0.667Fe0.667Ni0.667Ti0.2,515,FCC+BCC,POWDER,https://www.nature.com/articles/s41597-020-00768-66,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al1.125CuFe0.75NiTi1.125,516,FCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al22.5Cu20Fe15Ni20Ti22.5,516,FCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCu0.889Fe0.667Ni0.889Ti,516,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-257,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCuFeNiTi,516,FCC,CAST,https://www.nature.com/articles/s41597-020-00768-256,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.75MoNbTiV,517,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-248,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al14.2Mo22.2Nb22.2Ti21.5V20.95,517,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
CoCrFeNb0.5Ni,518,,CAST,https://doi.org/10.1016/j.jmst.2021.01.289,Machine learning of phases and mechanical properties in complexconcentrated alloys
Mo0.5VNbTiCr,518,,CAST,Beniwal: Test,
Al1.2CrCuFeNi2,520,,CAST,https://doi.org/10.1016/j.jmst.2021.01.290,Machine learning of phases and mechanical properties in complexconcentrated alloys
Co0.625Fe0.625Mo0.625NiV0.625,520,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-230,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoFeMoNi1.6V,520,FCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
