Alloys,,Alloys,Alloys,Alloys,Alloys,Alloys,Alloys,Alloys,Alloys
,34,(ZrHfNb)0.6Ti0.2Ta0.2,(ZrHfNb)0.6W0.2Ta0.2,(ZrHfNb)0.6Mo0.2Ta0.2,(ZrHfNb)0.6Cr0.2W0.2,(VNbTa)0.6Cr0.2W0.2,(VNbTa)0.6Zr0.2W0.2,(VNbTa)0.6Hf0.2W0.2,(VNbTa)0.6Mo0.2Ti0.2
,35,(ZrHfNb)0.5Ti0.2Ta0.3,(ZrHfNb)0.5W0.2Ta0.3,(ZrHfNb)0.5Mo0.2Ta0.3,(ZrHfNb)0.5Cr0.2W0.3,(VNbTa)0.5Cr0.2W0.3,(VNbTa)0.5Zr0.2W0.3,(VNbTa)0.5Hf0.2W0.3,(VNbTa)0.5Mo0.2Ti0.3
,36,(ZrHfNb)0.4Ti0.2Ta0.4,(ZrHfNb)0.4W0.2Ta0.4,(ZrHfNb)0.4Mo0.2Ta0.4,(ZrHfNb)0.4Cr0.2W0.4,(VNbTa)0.4Cr0.2W0.4,(VNbTa)0.4Zr0.2W0.4,(VNbTa)0.4Hf0.2W0.4,(VNbTa)0.4Mo0.2Ti0.4
,37,(ZrHfNb)0.3Ti0.2Ta0.5,(ZrHfNb)0.3W0.2Ta0.5,(ZrHfNb)0.3Mo0.2Ta0.5,(ZrHfNb)0.3Cr0.2W0.5,(VNbTa)0.3Cr0.2W0.5,(VNbTa)0.3Zr0.2W0.5,(VNbTa)0.3Hf0.2W0.5,(VNbTa)0.3Mo0.2Ti0.5
,38,(ZrHfNb)0.2Ti0.2Ta0.6,(ZrHfNb)0.2W0.2Ta0.6,(ZrHfNb)0.2Mo0.2Ta0.6,(ZrHfNb)0.2Cr0.2W0.6,(VNbTa)0.2Cr0.2W0.6,(VNbTa)0.2Zr0.2W0.6,(VNbTa)0.2Hf0.2W0.6,(VNbTa)0.2Mo0.2Ti0.6
,39,(ZrHfNb)0.1Ti0.2Ta0.7,(ZrHfNb)0.1W0.2Ta0.7,(ZrHfNb)0.1Mo0.2Ta0.7,(ZrHfNb)0.1Cr0.2W0.7,(VNbTa)0.1Cr0.2W0.7,(VNbTa)0.1Zr0.2W0.7,(VNbTa)0.1Hf0.2W0.7,(VNbTa)0.1Mo0.2Ti0.7
,40,(ZrHfNb)0.5Ti0.3Ta0.2,(ZrHfNb)0.5W0.3Ta0.2,(ZrHfNb)0.5Mo0.3Ta0.2,(ZrHfNb)0.5Cr0.3W0.2,(VNbTa)0.5Cr0.3W0.2,(VNbTa)0.5Zr0.3W0.2,(VNbTa)0.5Hf0.3W0.2,(VNbTa)0.5Mo0.3Ti0.2
,41,(ZrHfNb)0.4Ti0.4Ta0.2,(ZrHfNb)0.4W0.4Ta0.2,(ZrHfNb)0.4Mo0.4Ta0.2,(ZrHfNb)0.4Cr0.4W0.2,(VNbTa)0.4Cr0.4W0.2,(VNbTa)0.4Zr0.4W0.2,(VNbTa)0.4Hf0.4W0.2,(VNbTa)0.4Mo0.4Ti0.2
,42,(ZrHfNb)0.3Ti0.5Ta0.2,(ZrHfNb)0.3W0.5Ta0.2,(ZrHfNb)0.3Mo0.5Ta0.2,(ZrHfNb)0.3Cr0.5W0.2,(VNbTa)0.3Cr0.5W0.2,(VNbTa)0.3Zr0.5W0.2,(VNbTa)0.3Hf0.5W0.2,(VNbTa)0.3Mo0.5Ti0.2
,43,(ZrHfNb)0.2Ti0.6Ta0.2,(ZrHfNb)0.2W0.6Ta0.2,(ZrHfNb)0.2Mo0.6Ta0.2,(ZrHfNb)0.2Cr0.6W0.2,(VNbTa)0.2Cr0.6W0.2,(VNbTa)0.2Zr0.6W0.2,(VNbTa)0.2Hf0.6W0.2,(VNbTa)0.2Mo0.6Ti0.2
